"CODIGO","TIPOCODIGO","TIPOPRODUCTO","NOMBRE","DENOMINACIONCOMUN","CONCENTRACION","FORMAFARMACEUTICA","FORMAFARMACEUTICASIMP","LABORATORIO","PAIS","PRESENTACION","UNIDADENVASE","SITUACION","NUMREGISTROSANITARIO"
"7753748001435","GTIN_13","PRODUCTO FARMACEUTICO","ETORICOXIB","ETORICOXIB","90 mg","TABLETA RECUBIERTA","TABLETA","E.S.C. PHARMED","PERÚ","CAJA TAB","10","ACTIVO","EN08721"
"4006000014395","GTIN_13","COSMETICO","ANTI-PIGMENT CREMA CORPORAL","PRODUCTO DERMATOLOGICO","","CREMA","CREMA","BEIERSDORF","ALEMANIA","TUBO X 200 ML","1","ACTIVO","NSOC24466-23CO"
"7759765003087","GTIN_13","PRODUCTO FARMACEUTICO","MUROCYN","MUPIROCINA","2%","UNGUENTO","UNGUENTO","OQCORP","INDIA","TUBO X 15 G","1","ACTIVO","EE05958"
"7800060044135","GTIN_13","PRODUCTO FARMACEUTICO","TRAVOF T SP","TIMOLOL + TRAVOPROST","0.04 mg + 5 mg/mL","SOLUCION OFTALMICA","COLIRIO","FARMAVAL","CHILE","FRASCO GOTERO X 2.5 ML","1","ACTIVO","EE09174"
"8904012482026","GTIN_13","PRODUCTO FARMACEUTICO","CLOSTET","INMUNOGLOBULINA ANTITETANICA","250 UI/mL","SOLUCION INYECTABLE","INYECTABLE","PHARMARIS","INDIA","VIAL X 1 ML","1","ACTIVO","BE00702"
"722776200629","GTIN_12","PRODUCTO FARMACEUTICO","SUCRALOSA","SUCRALOSA","1.2%","POLVO PARA SOLUCION ORAL","LIQUIDO ORAL","TC HEARTLAND","MÉXICO","SOBRE X 1 G","200","ACTIVO","EDE0090"
"7750000065402","GTIN_13","PRODUCTO FARMACEUTICO","IRBESAMED","IRBESARTAN","150 mg","TABLETA","TABLETA","INRETAIL","PERÚ","CAJA TAB","20","ACTIVO","EN08770"
"7756378000489","GTIN_13","ALIMENTO","STEVIA HELTY","SUPLEMENTO ALIMENTICIO","","POLVO ORAL","POLVO","ALGAS MARINAS","PERÚ","POTE X 150 G","1","ACTIVO","F4901112N/NALBAG"
"7891317203986","GTIN_13","PRODUCTO FARMACEUTICO","TYMBRO","LINEZOLID","2 mg/mL","SOLUCION PARA PERFUSION","INYECTABLE","EUROFARMA","BRASIL","BOLSA X 300 ML","10","ACTIVO","EE04823"
"7795373012820","GTIN_13","PRODUCTO FARMACEUTICO","RINOSAL B","BUDESONIDA","100 mcg/Dosis","SUSPENSION PARA PULVERIZACION NASAL","SPRAY NASAL","D&M PHARMA","ARGENTINA","SPRAY X 100 DOSIS","1","ACTIVO","EE03506"
"7795373015166","GTIN_13","PRODUCTO FARMACEUTICO","FLUTIVENT","FLUTICASONA + SALMETEROL","250 mcg + 25 mcg/Dosis","AEROSOL PARA INHALACION","AEROSOL","D&M PHARMA","ARGENTINA","FRASCO X 120 DOSIS","1","ACTIVO","EE01880"
"7861100402377","GTIN_13","PRODUCTO FARMACEUTICO","FIRIALTA","FINERENONA","20 mg","COMPRIMIDO RECUBIERTO","TABLETA","BAYER","ALEMANIA","CAJA COMP","28","ACTIVO","EE11295"
"7730766000343","GTIN_13","PRODUCTO FARMACEUTICO","DEXILANT","DEXLANSOPRAZOL","60 mg","CAPSULA DE LIBERACION RETARDADA","CAPSULA","TECNOFARMA","ALEMANIA","CAJA CAPS","14","ACTIVO","EE10280"
"8429420902435","GTIN_13","COSMETICO","ACNIBEN REPAIR BALSAMO","PRODUCTO DERMATOLOGICO","","UNGUENTO","UNGUENTO","ISDIN","ESPAÑA","FRASCO X 10 ML","1","ACTIVO","NSOC01220- 09PE"
"8470001806475","GTIN_13","COSMETICO","TEEN SKIN ACNIBEN BODY SPRAY","PRODUCTO DERMATOLOGICO","","LOCION","SOLUCION TOPICA","ISDIN","ESPAÑA","FRASCO X 150 ML","1","ACTIVO","NSCO29502-17PE"
"8904102205283","GTIN_13","PRODUCTO FARMACEUTICO","FLAVOXATO","FLAVOXATO","200 mg","TABLETA RECUBIERTA","TABLETA","AJR LABS","INDIA","CAJA TAB","30","ACTIVO","EE08004"
"3612623739105","GTIN_13","COSMETICO","ANTHELIOS DERMO PEDIATRICS SPF 50+","PRODUCTOS DE PROTECCION SOLAR","","SOLUCION TOPICA","SOLUCION TOPICA","LA ROCHE-POSAY","FRANCIA","FRASCO X 200 ML","1","ACTIVO","NSOC41373-11CO"
"4005900839626","GTIN_13","COSMETICO","EUCERIN OIL CONTROL TINTED FPS 50+ ANTI-BRILLO SUN-GEL CREAM TOQUE SECO TONO CLARO","PRODUCTOS DE PROTECCION SOLAR","","GEL","GEL","BEIERSDORF","ALEMANIA","FRASCO X 50 ML","1","ACTIVO","NSOC63190-14CO"
"7752735000314","GTIN_13","PRODUCTO FARMACEUTICO","AXPRIN","PARACETAMOL","500 mg","TABLETA","TABLETA","DRONNVELS","PERÚ","CAJA TAB","100","ACTIVO","EN08797"
"8429420236912","GTIN_13","COSMETICO","ISDINCEUTICS RETINAL INTENSE","PRODUCTO DERMATOLOGICO","","SOLUCION OFTALMICA","COLIRIO","ISDIN","ESPAÑA","FRASCO X 50 ML","1","ACTIVO","NSOC17486-22CO"
"2034371000015","TEMP","PRODUCTO FARMACEUTICO","IDO SAFE ESPUMA","IODOPOVIDONA","8.5%","SOLUCION TOPICA","SOLUCION TOPICA","ROKER","PERÚ","FRASCO X 1 L","1","ACTIVO","EN00100"
"8904172926460","GTIN_13","PRODUCTO FARMACEUTICO","KOFIXIR PD 180","FEXOFENADINA","180 mg","COMPRIMIDO RECUBIERTO","TABLETA","DISTOLOZA","INDIA","CAJA COMP","10","ACTIVO","EE10011"
"8903703011330","GTIN_13","PRODUCTO FARMACEUTICO","CUTENOX","ENOXAPARINA DE SODIO","60 mg/0.6 mL","SOLUCION INYECTABLE","INYECTABLE","NORDIC","ESPAÑA","JERINGA PRELLENADA X 0.6 ML","1","ACTIVO","BE01282"
"7750288001055","GTIN_13","PRODUCTO FARMACEUTICO","TAMSUL","TAMSULOSINA","0.4 mg","CAPSULA DE LIBERACION PROLONGADA","CAPSULA","INTIPHARMA","INDIA","CAJA CAPS","30","ACTIVO","EE08453"
"0781159413735","GTIN_13","PRODUCTO FARMACEUTICO","GOTURIC","FEBUXOSTAT","80 mg","TABLETA RECUBIERTA","TABLETA","LAFAGE","PERÚ","CAJA TAB","28","ACTIVO","EN07643"
"3664798053005","GTIN_13","PRODUCTO FARMACEUTICO","BUSCAMINT","MENTHA X PIPERITA","0.2 mL","CAPSULA BLANDA","CAPSULA","OPELLA HEALTHCARE","ALEMANIA","CAJA CAPS","12","ACTIVO","PNE1674"
"4057598016414","GTIN_13","PRODUCTO FARMACEUTICO","PROGYNOVA","VALERATO DE ESTRADIOL","2 mg","GRAGEA","TABLETA","BAYER","ALEMANIA","CAJA GRAG","28","ACTIVO","EE09989"
"4260095684615","GTIN_13","PRODUCTO FARMACEUTICO","LEXOTAN","BROMAZEPAM","3 mg","COMPRIMIDO","TABLETA","BIOPAS","BRASIL","CAJA COMP","50","ACTIVO","EE03198"
"6921875010663","GTIN_13","PRODUCTO FARMACEUTICO","AMOXICILINA","AMOXICILINA","500 mg","CAPSULA","CAPSULA","GEMEFAR","CHINA","CAJA CAPS","100","ACTIVO","EE09016"
"7703454123846","GTIN_13","PRODUCTO FARMACEUTICO","CALCIBONE D SOYA FORTE","SUPLEMENTO DIETETICO/NUTRICIONAL","","TABLETA","TABLETA","FARMAKONSUMA","COLOMBIA","FRASCO TAB","30","ACTIVO","PNE1459"
"7707213872419","GTIN_13","PRODUCTO FARMACEUTICO","AERIUS","DESLORATADINA","2.5 mg/5 mL","SOLUCION ORAL","LIQUIDO ORAL","ORGANON","FRANCIA","FRASCO X 60 ML","1","ACTIVO","EE06105"
"7707213879814","GTIN_13","PRODUCTO FARMACEUTICO","DIPROSPAN FAST","BETAMETASONA","4 mg/mL","SOLUCION INYECTABLE","INYECTABLE","ORGANON","BÉLGICA","AMPOLLA X 2 ML","1","ACTIVO","EE09426"
"7750045126144","GTIN_13","DISPOSITIVO MEDICO","AGUJA HIPODERMICA ESTERIL","AGUJAS HIPODERMICAS","23 G x 1 1/2","INSUMO MEDICO","DISPOSITIVO MEDICO","EFILA","CHINA","CAJA","100","ACTIVO","DM19356E"
"7750215027486","GTIN_13","PRODUCTO FARMACEUTICO","MUPIROTRIM","MUPIROCINA","2%","CREMA","CREMA","PORTUGAL","PERÚ","TUBO X 20 G","1","ACTIVO","EN06025"
"7750373165006","GTIN_13","DISPOSITIVO MEDICO","NEXCARE MICROPORE CINTA QUIRÚRGICA","CINTAS ADHERENTES MEDICAS","2 x 10 cm","INSUMO MEDICO","DISPOSITIVO MEDICO","3M","ESTADOS UNIDOS","CAJA","1","ACTIVO","DM13283E"
"7750441090179","GTIN_13","PRODUCTO FARMACEUTICO","STELARA","USTEKINUMAB","45 mg/0.5 mL","SOLUCION INYECTABLE","INYECTABLE","JOHNSON&JOHNSON","SUIZA","JERINGA PRELLENADA X 0.5 ML","1","ACTIVO","BE00716"
"7750942009489","GTIN_13","PRODUCTO FARMACEUTICO","ZOLPIDEM","ZOLPIDEM","10 mg","TABLETA RECUBIERTA","TABLETA","IQFARMA","PERÚ","CAJA TAB","10","ACTIVO","EN01227"
"7751207002719","GTIN_13","PRODUCTO FARMACEUTICO","AMIGDAZOL PLUS","BENZOCAINA + TIROTRICINA","5 mg + 1 mg","COMPRIMIDO PARA CHUPAR","TABLETA","MARKOS","PERÚ","CAJA COMP","120","ACTIVO","EN05484"
"7753658003925","GTIN_13","PRODUCTO FARMACEUTICO","DESLORATADINA","DESLORATADINA","5 mg","TABLETA RECUBIERTA","TABLETA","VITA PHARMA","PERÚ","CAJA TAB","100","ACTIVO","EN02342"
"5997001371886","GTIN_13","PRODUCTO FARMACEUTICO","EVRA","ETINILESTRADIOL + NORELGESTROMINA","0.6 mg + 6 mg","PARCHE TRANSDERMICO","PARCHE","GEDEON RICHTER","ALEMANIA","PARCHE","3","ACTIVO","EE04013"
"7754102001207","GTIN_13","PRODUCTO FARMACEUTICO","M-VAT","MECOBALAMINA","500 mcg/mL","SOLUCION INYECTABLE","INYECTABLE","DROPESAC","INDIA","AMPOLLA X 1 ML","10","ACTIVO","EE11313"
"7756969000102","GTIN_13","DISPOSITIVO MEDICO","GUANTES QUIRURGICOS DE LATEX ESTERILES DESCARTABLES","GUANTES QUIRURGICOS","N° 7","INSUMO MEDICO","DISPOSITIVO MEDICO","ALKHOFAR","CHINA","CAJA","50","ACTIVO","DM16834E"
"7756969000300","GTIN_13","DISPOSITIVO MEDICO","JERINGA DESCARTABLE ESTERIL CON AGUJA","JERINGA CON AGUJA PARA USO MEDICO","25G x 5/8 1 mL","INSUMO MEDICO","DISPOSITIVO MEDICO","ALKHOFAR","CHINA","SOBRE","1","ACTIVO","DM17130E"
"7756969000881","GTIN_13","DISPOSITIVO MEDICO","BAJALENGUA ESTERIL ADULTO","BAJA LENGUAS","","INSUMO MEDICO","DISPOSITIVO MEDICO","ALKHOFAR","CHINA","CAJA","100","ACTIVO","DM16039E"
"7756969002168","GTIN_13","DISPOSITIVO MEDICO","IRRIGATION SYRINGES","SET DE JERINGAS DE IRRIGACION","","INSUMO MEDICO","DISPOSITIVO MEDICO","SIGMA","CHINA","CAJA","1","ACTIVO","DM19735E"
"7757811000332","GTIN_13","PRODUCTO FARMACEUTICO","CARBAMAZEPINA","CARBAMAZEPINA","200 mg","TABLETA","TABLETA","INRETAIL","PERÚ","CAJA TAB","100","ACTIVO","EN03810"
"7759765000987","GTIN_13","PRODUCTO FARMACEUTICO","AMOXICILINA + ACIDO CLAVULANICO","AMOXICILINA + ACIDO CLAVULANICO","500 mg + 125 mg","TABLETA RECUBIERTA","TABLETA","OQCORP","CHINA","CAJA TAB","10","ACTIVO","EE02683"
"7803510002655","GTIN_13","PRODUCTO FARMACEUTICO","CIRUELAX FORTE","CASSIA ANGUSTIFOLIA VAHL.","2 g","JALEA","GEL","MEGA LABS","CHILE","POTE X 300 G","1","ACTIVO","PNE1323"
"8033661806133","GTIN_13","DISPOSITIVO MEDICO","HYALONE","HIALURONATO DE SODIO","60 mg/4 mL","SOLUCION INYECTABLE","INYECTABLE","PERULAB","ITALIA","JERINGA PRELLENADA X 4 ML","1","ACTIVO","DM13756E"
"8436024613339","GTIN_13","PRODUCTO FARMACEUTICO","DEFAL","DEFLAZACORT","30 mg","COMPRIMIDO","TABLETA","FAES FARMA","ESPAÑA","CAJA COMP","10","ACTIVO","EE00423"
"8903703011316","GTIN_13","PRODUCTO FARMACEUTICO","CUTENOX","ENOXAPARINA DE SODIO","40 mg/0.4 mL","SOLUCION INYECTABLE","INYECTABLE","NORDIC","INDIA","JERINGA PRELLENADA X 0.4 ML","1","ACTIVO","BE01280"
"7706127005371","GTIN_13","PRODUCTO FARMACEUTICO","CICLOBENZAPRINA","CICLOBENZAPRINA","5 mg","TABLETA RECUBIERTA","TABLETA","EUROFARMA","COLOMBIA","CAJA TAB","30","ACTIVO","EE10297"
"7750942009403","GTIN_13","PRODUCTO FARMACEUTICO","BROMAZEPAM","BROMAZEPAM","3 mg","TABLETA","TABLETA","IQFARMA","PERÚ","CAJA TAB","100","ACTIVO","EN04729"
"7757595000122","GTIN_13","PRODUCTO FARMACEUTICO","ERTAPLUS","ERTAPENEM","1 g","POLVO PARA SOLUCION INYECTABLE","INYECTABLE","ANTIBIOTICOS","ITALIA","VIAL","10","ACTIVO","EE10147"
"8903726255711","GTIN_13","PRODUCTO FARMACEUTICO","PREGABALINA","PREGABALINA","75 mg","CAPSULA","CAPSULA","SEVEN PHARMA","INDIA","CAJA CAPS","30","ACTIVO","EE07508"
"7754477000515","GTIN_13","PRODUCTO FARMACEUTICO","EMBETA XR-50","METOPROLOL","50 mg","TABLETA DE LIBERACION PROLONGADA","TABLETA","ACCORD","INDIA","CAJA TAB","30","ACTIVO","EE04241"
"4046222162559","GTIN_13","PRODUCTO FARMACEUTICO","XEOMIN","TOXINA BOTULINICA TIPO A","100 U DL50","POLVO PARA SOLUCION INYECTABLE","INYECTABLE","HOSTING Y CONSULTORIA","ALEMANIA","VIAL","1","ACTIVO","BE01128"
"7613326028080","GTIN_13","PRODUCTO FARMACEUTICO","POLIVY","POLATUZUMAB VEDOTINA","140 mg","POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION","INYECTABLE","ROCHE FARMA","ITALIA","VIAL","1","ACTIVO","BE01263"
"7750215028476","GTIN_13","PRODUCTO FARMACEUTICO","CARDIOPLEXX 100","ACIDO SALICILICO","100 mg","TABLETA RECUBIERTA","TABLETA","PORTUGAL","PERÚ","CAJA TAB","100","ACTIVO","EN04572"
"8902413021417","GTIN_13","PRODUCTO FARMACEUTICO","FLUOROURACILO","FLUOROURACILO","500 mg/10 mL","SOLUCION INYECTABLE","INYECTABLE","SEVEN PHARMA","INDIA","VIAL X 10 ML","1","ACTIVO","EE11101"
"8904159677545","GTIN_13","PRODUCTO FARMACEUTICO","ATOTEROL 40","ATORVASTATINA","40 mg","TABLETA RECUBIERTA","TABLETA","MSN LABS","INDIA","CAJA TAB","30","ACTIVO","EE10831"
"7500435225359","GTIN_13","PRODUCTO FARMACEUTICO","DOLO NEUROBION NF","CIANOCOBALAMINA (VITAMINA B12) + DICLOFENACO + PIRIDOXINA (VITAMINA B6) + TIAMINA (VITAMINA B1)","25 mg + 50 mg + 50 mg + 50 mg + 50 mg","CAPSULA","CAPSULA","P&G","PERÚ","CAJA CAPS","200","ACTIVO","EN04712"
"7702870020760","GTIN_13","PRODUCTO FARMACEUTICO","CORDIAX AM 80/5","AMLODIPINO + TELMISARTAN","5 mg + 80 mg","TABLETA RECUBIERTA","TABLETA","FARMINDUSTRIA","COLOMBIA","CAJA TAB","30","ACTIVO","EE07087"
"8906004260056","GTIN_13","PRODUCTO FARMACEUTICO","ALPOSCAD","ALPROSTADIL","500 mcg/mL","SOLUCION INYECTABLE","INYECTABLE","CADILLO","INDIA","AMPOLLA X 1 ML","1","ACTIVO","EE03069"
"8906006571051","GTIN_13","PRODUCTO FARMACEUTICO","DOXORUBICINA CLORHIDRATO","DOXORUBICINA","50 mg/25 mL","CONCENTRADO PARA SOLUCION PARA PERFUSION","INYECTABLE","SOLTON","INDIA","VIAL X 25 ML","1","ACTIVO","EE10000"
"650240063244","GTIN_12","ALIMENTO","SUEROX SABOR MORA","BEBIDA REHIDRATANTE","","SOLUCION ORAL","LIQUIDO ORAL","GENOMMA","MÉXICO","FRASCO X 630 ML","1","ACTIVO","P2602822E/NAGNLB"
"8021118000197","GTIN_13","DISPOSITIVO MEDICO","PERFLUOROCARBON FOR VITREORETINAL SURGERY","GAS INTRAOCULAR","","INSUMO MEDICO","DISPOSITIVO MEDICO","ASG INVERSIONES","ITALIA","VIAL X 7 ML","1","ACTIVO","DM21308E"
"8021118000357","GTIN_13","DISPOSITIVO MEDICO","GOT SF6 MULTI GOT C3F8 MULTI","GAS INTRAOCULAR","","INSUMO MEDICO","DISPOSITIVO MEDICO","ASG INVERSIONES","ITALIA","ENVASE X 75 ML + ACCESORIOS","1","ACTIVO","DM26496E"
"803878028707","GTIN_12","DISPOSITIVO MEDICO","NON-ABSORBABLE SURGICAL SUTURE AUROLENE","SUTURA QUIRURGICA","","INSUMO MEDICO","DISPOSITIVO MEDICO","ASG INVERSIONES","INDIA","SOBRE","1","ACTIVO","DM22746E"
"7703153038953","GTIN_13","PRODUCTO FARMACEUTICO","TRASS","NAPROXENO + SUMATRIPTAN","500 mg + 85 mg","TABLETA RECUBIERTA","TABLETA","UNIMED","COLOMBIA","CAJA TAB","4","ACTIVO","EE06793"
"7705959881580","GTIN_13","PRODUCTO FARMACEUTICO","TRAMADOL","TRAMADOL","100 mg/mL","SOLUCION ORAL","LIQUIDO ORAL","SANOFI AVENTIS","COLOMBIA","FRASCO GOTERO X 10 ML","1","ACTIVO","EE09547"
"7755854002429","GTIN_13","PRODUCTO FARMACEUTICO","DICLOFEN-50","DICLOFENACO","50 mg","COMPRIMIDO GASTRORRESISTENTE","TABLETA","DROG. LIPHARMA","INDIA","CAJA COMP","100","ACTIVO","EE09358"
"8021118000050","GTIN_13","DISPOSITIVO MEDICO","RS-OIL ECS","ACEITE DE SILICONA","1000 CS","INSUMO MEDICO","DISPOSITIVO MEDICO","ASG INVERSIONES","ITALIA","VIAL X 10 ML","1","ACTIVO","DM26982E"
"4030539206334","GTIN_13","ALIMENTO","FRUTTIFLEX 50 SABOR MANZANILLA","BEBIDA REHIDRATANTE","","SOLUCION ORAL","LIQUIDO ORAL","B.BRAUN","ALEMANIA","FRASCO X 1000 ML","1","ACTIVO","P2802112N/NABBMD"
"7753658003703","GTIN_13","PRODUCTO FARMACEUTICO","DESLORATADINA","DESLORATADINA","5 mg","TABLETA RECUBIERTA","TABLETA","VITA PHARMA","PERÚ","CAJA TAB","100","ACTIVO","EN02342"
"7730766000237","GTIN_13","PRODUCTO FARMACEUTICO","FAKTU","CINCOCAINA + POLICRESULENO","1 g + 5 g","POMADA RECTAL","POMADA","TECNOFARMA","MÉXICO","TUBO X 20 G","1","ACTIVO","EE03850"
"7795320000450","GTIN_13","PRODUCTO FARMACEUTICO","PRIMOVIST","ACIDO GADOXETICO","0.25 mmol/mL","SOLUCION INYECTABLE","INYECTABLE","BAYER","ALEMANIA","JERINGA PRELLENADA X 10 ML","1","ACTIVO","ADE0085"
"7730766000336","GTIN_13","PRODUCTO FARMACEUTICO","DEXILANT","DEXLANSOPRAZOL","30 mg","CAPSULA DE LIBERACION RETARDADA","CAPSULA","TECNOFARMA","ALEMANIA","CAJA CAPS","14","ACTIVO","EE10220"
"7757310010825","GTIN_13","PRODUCTO FARMACEUTICO","LIBBERAFEX 120","FEXOFENADINA","120 mg","TABLETA RECUBIERTA","TABLETA","HERSIL","INDIA","CAJA TAB","10","ACTIVO","EE11137"
"7759765001908","GTIN_13","PRODUCTO FARMACEUTICO","VANCOMICINA","VANCOMICINA","500 mg","POLVO PARA SOLUCION INYECTABLE","INYECTABLE","OQCORP","CHINA","CAJA","10","ACTIVO","EE06236"
"8906045623612","GTIN_13","PRODUCTO FARMACEUTICO","AZAGLOB","AZATIOPRINA","50 mg","TABLETA","TABLETA","DROPESAC","INDIA","CAJA TAB","100","ACTIVO","EE09517"
"4051895014739","GTIN_13","PRODUCTO FARMACEUTICO","SUPPORTAN DRINK SABOR FRUTOS TROPICALES","SUPLEMENTO DIETETICO/NUTRICIONAL","","EMULSION ORAL","LIQUIDO ORAL","FRESENIUS KABI","ALEMANIA","FRASCO X 200 ML","4","ACTIVO","DE3580"
"77505408","GTIN_8","PRODUCTO FARMACEUTICO","DEXTROMETORFANO BROMHIDRATO","DEXTROMETORFANO","15 mg/5 mL","JARABE","LIQUIDO ORAL","IQFARMA","PERÚ","FRASCO X 120 ML","1","ACTIVO","EN00125"
"7613326034845","GTIN_13","PRODUCTO FARMACEUTICO","ENSPRYNG","SATRALIZUMAB","120 mg/mL","SOLUCION INYECTABLE","INYECTABLE","ROCHE FARMA","JAPÓN","JERINGA PRELLENADA X 1 ML","1","ACTIVO","BE01290"
"7759307014168","GTIN_13","PRODUCTO FARMACEUTICO","CEFAZOLINA","CEFAZOLINA","1 g","POLVO PARA SOLUCION INYECTABLE","INYECTABLE","MEDIFARMA","PERÚ","VIAL","10","ACTIVO","EN02370"
"7840653004733","GTIN_13","PRODUCTO FARMACEUTICO","LOMED","DESLORATADINA","5 mg","COMPRIMIDO RECUBIERTO","TABLETA","DUPERU-INDUFAR","PARAGUAY","CAJA COMP","10","ACTIVO","EE04326"
"7702605154012","GTIN_13","PRODUCTO FARMACEUTICO","AMOXICILINA","AMOXICILINA","500 mg","CAPSULA","CAPSULA","SANOFI AVENTIS","COLOMBIA","CAJA CAPS","50","ACTIVO","EE04500"
"7804656601139","GTIN_13","PRODUCTO FARMACEUTICO","BONJESTA","DOXILAMINA + PIRIDOXINA (VITAMINA B6)","20 mg + 20 mg","TABLETA DE LIBERACION PROLONGADA","TABLETA","EXELTIS","CANADÁ","CAJA TAB","20","ACTIVO","EE11386"
"7730766000220","GTIN_13","PRODUCTO FARMACEUTICO","YONDELIS","TRABECTEDINA","1 mg","POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION","INYECTABLE","TECNOFARMA","ALEMANIA","VIAL","1","ACTIVO","EE10897"
"7750431710100","GTIN_13","PRODUCTO FARMACEUTICO","ZOTRIDE","OCTREOTIDA","1 mg/5 mL","SOLUCION INYECTABLE","INYECTABLE","DS PHARMA","INDIA","VIAL X 5 ML","1","ACTIVO","EE11759"
"8470001565358","GTIN_13","PRODUCTO FARMACEUTICO","OVUSITOL D","ACIDO FOLICO + COLECALCIFEROL (VITAMINA D3) + MIOINOSITOL","0.24 mg + 2.3 mg + 2 mg","POLVO PARA SOLUCION ORAL","LIQUIDO ORAL","LUKOLL","ESPAÑA","SOBRE","30","ACTIVO","DE1481"
"7757964000265","GTIN_13","PRODUCTO FARMACEUTICO","INFAVIT HIERRO","HIDROXIDO FERRICO POLIMALTOSATO","40 mg/mL","SOLUCION ORAL","LIQUIDO ORAL","KEZER-LAB","VIETNAM","FRASCO X 30 ML","1","ACTIVO","DE3295"
